jogador,idade,nacionalidade,time,valor,posicao
S. Mané,26,Senegal,Liverpool,52,LM
V. van Dijk,26,Netherlands,Liverpool,44.5,LCB
R. Sterling,23,England,Manchester City,56.5,RW
Roberto Firmino,26,Brazil,Liverpool,53,CAM
R. Varane,25,France,Real Madrid,50,RCB
M. Verratti,25,Italy,Paris Saint-Germain,55,LCM
Alex Sandro,27,Brazil,Juventus,36.5,LB
Douglas Costa,27,Brazil,Juventus,46.5,LM
T. Müller,28,Germany,FC Bayern München,45,CAM
Thiago,27,Spain,FC Bayern München,45.5,CM
M. Reus,29,Germany,Borussia Dortmund,43.5,LM
Azpilicueta,28,Spain,Chelsea,35,RB
L. Bonucci,31,Italy,Juventus,30,RCB
T. Alderweireld,29,Belgium,Tottenham Hotspur,39,RCB
M. Pjanić,28,Bosnia Herzegovina,Juventus,44,CDM
M. Benatia,31,Morocco,Juventus,30,CB
M. Özil,29,Germany,Arsenal,43.5,CAM
Fernandinho,33,Brazil,Manchester City,18,CDM
Iniesta,34,Spain,Vissel Kobe,21.5,LF
M. Škriniar,23,Slovakia,Inter,46.5,LCB
S. Milinković-Savić,23,Serbia,Lazio,50.5,CM
Marco Asensio,22,Spain,Real Madrid,54,RW
N. Fekir,24,France,Olympique Lyonnais,50,CAM
Alisson,25,Brazil,Liverpool,36.5,GK
J. Kimmich,23,Germany,FC Bayern München,40.5,RCM
Saúl,23,Spain,Atlético Madrid,50.5,RCM
R. Mahrez,27,Algeria,Manchester City,40.5,RW
D. Alaba,26,Austria,FC Bayern München,38,LB
Koke,26,Spain,Atlético Madrid,45,LM
A. Lacazette,27,France,Arsenal,45,ST
K. Manolas,27,Greece,Roma,37.5,LCB
N. Otamendi,30,Argentina,Manchester City,28.5,CB
Parejo,29,Spain,Valencia CF,37,RCM
Paulinho,29,Brazil,Guangzhou Evergrande Taobao FC,37,LDM
W. Szczęsny,28,Poland,Juventus,32,GK
A. Sánchez,29,Chile,Manchester United,37.5,RW
Y. Brahimi,28,Algeria,FC Porto,39,LM
J. Boateng,29,Germany,FC Bayern München,30,RCB
A. Vidal,31,Chile,FC Barcelona,26,CAM
I. Perišić,29,Croatia,Inter,37.5,LM
E. Džeko,32,Bosnia Herzegovina,Roma,30.5,ST
S. Khedira,31,Germany,Juventus,33,RCM
Diego Costa,29,Spain,Atlético Madrid,38.5,LS
R. Nainggolan,30,Belgium,Inter,35.5,CAM
Naldo,35,Brazil,FC Schalke 04,9,CB
B. Matuidi,31,France,Juventus,26,LM
Miranda,33,Brazil,Inter,15.5,CB
K. Benzema,30,France,Real Madrid,37,ST
Filipe Luís,32,Brazil,Atlético Madrid,21.5,LB
V. Kompany,32,Belgium,Manchester City,22,CB
Pepe,35,Portugal,Beşiktaş JK,9,RCB
Z. Ibrahimović,36,Sweden,LA Galaxy,14,RS
D. Sánchez,22,Colombia,Tottenham Hotspur,34,RCB
J. Giménez,23,Uruguay,Atlético Madrid,34,RCB
Alex Telles,25,Brazil,FC Porto,32,LB
A. Laporte,24,France,Manchester City,34,LCB
Bruno Fernandes,23,Portugal,Sporting CP,40.5,LCM
N. Süle,22,Germany,FC Bayern München,36.5,CB
A. Martial,22,France,Manchester United,42.5,LW
D. Alli,22,England,Tottenham Hotspur,42.5,LCM
Fabinho,24,Brazil,Liverpool,34,CDM
Marquinhos,24,Brazil,Paris Saint-Germain,35.5,LDM
William Carvalho,26,Portugal,Real Betis,31.5,CDM
Jorginho,26,Italy,Chelsea,38,CM
F. Thauvin,25,France,Olympique de Marseille,39,RM
Carvajal,26,Spain,Real Madrid,31.5,RB
M. Depay,24,Netherlands,Olympique Lyonnais,42,ST
H. Son,25,Korea Republic,Tottenham Hotspur,37,LM
A. Lopes,27,Portugal,Olympique Lyonnais,25,GK
S. de Vrij,26,Netherlands,Inter,31.5,CB
M. Perin,25,Italy,Juventus,29.5,GK
J. Cuadrado,30,Colombia,Juventus,29.5,RAM
Iago Aspas,30,Spain,RC Celta,30,ST
B. Leno,26,Germany,Arsenal,27,GK
N. Matić,29,Serbia,Manchester United,24,CDM
L. Hrádecký,28,Finland,Bayer 04 Leverkusen,22,GK
Illarramendi,28,Spain,Real Sociedad,31,RDM
K. Walker,28,England,Manchester City,24.5,RB
I. Gündoğan,27,Germany,Manchester City,32,CM
José Callejón,31,Spain,Napoli,27.5,RM
A. Di María,30,Argentina,Paris Saint-Germain,29.5,RM
M. Mandžukić,32,Croatia,Juventus,25,ST
Willian,29,Brazil,Chelsea,30.5,RW
Sergio Asenjo,29,Spain,Villarreal CF,24,GK
E. Banega,30,Argentina,Sevilla FC,29,CDM
A. Witsel,29,Belgium,Borussia Dortmund,24,LCM
D. Payet,31,France,Olympique de Marseille,27.5,CAM
Jonas,34,Brazil,SL Benfica,16.5,ST
Sokratis,30,Greece,Arsenal,23,RCB
S. Ruffier,31,France,AS Saint-Étienne,19,GK
Falcao,32,Colombia,AS Monaco,25,RS
K. Schmeichel,31,Denmark,Leicester City,19,GK
Raúl Albiol,32,Spain,Napoli,18,RCB
A. Gómez,30,Argentina,Atalanta,30,LS
A. Barzagli,37,Italy,Juventus,4.2,CB
Quaresma,34,Portugal,Beşiktaş JK,15.5,RM
A. Robben,34,Netherlands,FC Bayern München,15.5,RM
O. Dembélé,21,France,FC Barcelona,40,RW
Gabriel Jesus,21,Brazil,Manchester City,41,ST
Ronaldo Cabrais,26,Brazil,Grêmio,28,RW
Josué Chiamulera,26,Brazil,Grêmio,22.5,LCB
Louri Beretta,26,Brazil,Atlético Mineiro,28.5,ST
P. Kimpembe,22,France,Paris Saint-Germain,30.5,LCB
N. Keïta,23,Guinea,Liverpool,34,CM
C. Tolisso,23,France,FC Bayern München,34,CM
T. Lemar,22,France,Atlético Madrid,35.5,LM
K. Coman,22,France,FC Bayern München,34,LM
J. Tah,22,Germany,Bayer 04 Leverkusen,29.5,CB
Anderson Talisca,24,Brazil,Guangzhou Evergrande Taobao FC,36.5,CAM
T. Werner,22,Germany,RB Leipzig,34.5,RW
A. Rabiot,23,France,Paris Saint-Germain,33,CM
L. Goretzka,23,Germany,FC Bayern München,34,CM
Q. Promes,26,Netherlands,Sevilla FC,30.5,RM
H. Ziyech,25,Morocco,Ajax,32.5,RAM
Lucas Vázquez,27,Spain,Real Madrid,27,RW
Y. Carrasco,24,Belgium,Dalian YiFang FC,33,LM
Gerard Moreno,26,Spain,Villarreal CF,32,LS
Felipe,29,Brazil,FC Porto,20,RCB
M. Kovačić,24,Croatia,Chelsea,35,LCM
Kepa,23,Spain,Chelsea,28.5,GK
Manu Trigueros,26,Spain,Villarreal CF,30,RCM
S. Gnabry,22,Germany,FC Bayern München,34.5,ST
J. Pickford,24,England,Everton,25,GK
S. Savić,27,Montenegro,Atlético Madrid,26,CB
J. Stones,24,England,Manchester City,28.5,RCB
Suso,24,Spain,Milan,33,RW
J. Draxler,24,Germany,Paris Saint-Germain,32.5,CM
Felipe Anderson,25,Brazil,West Ham United,31.5,LM
Lucas Moura,25,Brazil,Tottenham Hotspur,31,RM
Danilo Pereira,26,Portugal,FC Porto,27,CDM
Nacho Fernández,28,Spain,Real Madrid,24.5,CB
T. Horn,25,Germany,1. FC Köln,24,GK
Allan,27,Brazil,Napoli,26.5,RCM
F. Acerbi,30,Italy,Lazio,19,CB
Sergi Roberto,26,Spain,FC Barcelona,26.5,RB
Rodrigo,27,Spain,Valencia CF,30.5,ST
Pizzi,28,Portugal,SL Benfica,25.5,LCM
K. Kampl,27,Slovenia,RB Leipzig,26.5,LCM
Neto,28,Brazil,Valencia CF,21,GK
O. Baumann,28,Germany,TSG 1899 Hoffenheim,21,GK
I. Gueye,28,Senegal,Everton,21,RDM
H. Mkhitaryan,29,Armenia,Arsenal,25.5,RM
Marcos Alonso,27,Spain,Chelsea,24,LB
D. Subašić,33,Croatia,AS Monaco,13,GK
K. Glik,30,Poland,AS Monaco,19,RCB
K. Strootman,28,Netherlands,Olympique de Marseille,21,CDM
B. Dost,29,Netherlands,Sporting CP,26,ST
Oscar,26,Brazil,Shanghai SIPG FC,30.5,LCM
M. Balotelli,27,Italy,OGC Nice,27.5,LS
Luiz Gustavo,30,Brazil,Olympique de Marseille,19,LCB
Giuliano,28,Brazil,Al Nassr,26,CAM
David Luiz,31,Brazil,Chelsea,17.5,LCB
R. Fährmann,29,Germany,FC Schalke 04,20,GK
Juan Mata,30,Spain,Manchester United,24.5,RM
Adán,31,Spain,Atlético Madrid,15.5,GK
Rui Patrício,30,Portugal,Wolverhampton Wanderers,16.5,GK
Y. Sommer,29,Switzerland,Borussia Mönchengladbach,20,GK
Javi Martínez,29,Spain,FC Bayern München,20,CDM
L. Bender,29,Germany,Bayer 04 Leverkusen,20,RB
Lucas Leiva,31,Brazil,Lazio,17.5,LDM
S. Mandanda,33,France,Olympique de Marseille,13,GK
Cesc Fàbregas,31,Spain,Chelsea,22,CM
M. Dembélé,30,Belgium,Tottenham Hotspur,24,CM
F. Ribéry,35,France,FC Bayern München,11.5,LM
R. Jarstein,33,Norway,Hertha BSC,13,GK
D. De Rossi,34,Italy,Roma,8,RDM
Pepe Reina,35,Spain,Milan,6,GK
J. Pavlenka,26,Czech Republic,SV Werder Bremen,19.5,GK
M. de Ligt,18,Netherlands,Ajax,27,RCB
Rodri,22,Spain,Atlético Madrid,29,CM
Arthur,21,Brazil,FC Barcelona,32.5,LCM
G. Donnarumma,19,Italy,Milan,29,GK
Rosberto Dourado,30,Brazil,Atlético Mineiro,16.5,RCM
Juiano Mestres,34,Brazil,Cruzeiro,6.5,RCB
Raphaelito Anjos,30,Brazil,Grêmio,14,GK
Gelson Martins,23,Portugal,Atlético Madrid,29.5,RM
Gonçalo Guedes,21,Portugal,Valencia CF,29,LM
L. Torreira,22,Uruguay,Arsenal,25,LCM
Malcom,21,Brazil,FC Barcelona,31.5,RW
Pau López,23,Spain,Real Betis,21.5,GK
L. Hernández,22,France,Atlético Madrid,25.5,LB
C. Lenglet,23,France,FC Barcelona,26,LCB
A. Kramarić,27,Croatia,TSG 1899 Hoffenheim,26,LCM
A. Robertson,24,Scotland,Liverpool,24.5,LB
Dani García,28,Spain,Athletic Club de Bilbao,20,RCM
F. Bernardeschi,24,Italy,Juventus,29.5,RM
J. Brandt,22,Germany,Bayer 04 Leverkusen,30.5,LM
D. Rugani,23,Italy,Juventus,24.5,CB
Samu Castillejo,23,Spain,Milan,29,RM
João Cancelo,24,Portugal,Juventus,25.5,RB
A. Romagnoli,23,Italy,Milan,26.5,LCB
T. Partey,25,Ghana,Atlético Madrid,25.5,CDM
Fred,25,Brazil,Manchester United,26.5,CM
J. Vardy,31,England,Leicester City,20,ST
A. Belotti,24,Italy,Torino,30,LS
E. Forsberg,26,Sweden,RB Leipzig,26,LM
J. Lingard,25,England,Manchester United,26.5,CAM
F. Vázquez,29,Argentina,Sevilla FC,21.5,LCM
E. Višća,28,Bosnia Herzegovina,Medipol Başakşehir FK,22.5,RM
A. Rüdiger,25,Germany,Chelsea,22.5,CB
A. Florenzi,27,Italy,Roma,20.5,RB
H. Maguire,25,England,Leicester City,23.5,LCB
T. Meunier,26,Belgium,Paris Saint-Germain,21,RM
S. Sané,27,Senegal,FC Schalke 04,18.5,CB
G. Kondogbia,25,Central African Rep.,Valencia CF,27.5,CM
Rafinha,25,Brazil,FC Barcelona,29.5,CAM
Gabriel Paulista,27,Brazil,Valencia CF,21,LCB
Morata,25,Spain,Chelsea,28.5,ST
J. Cillessen,29,Netherlands,FC Barcelona,18,GK
W. Ben Yedder,27,France,Sevilla FC,23.5,RS
C. Bakambu,27,DR Congo,Beijing Sinobo Guoan FC,26,ST
Pablo Sarabia,26,Spain,Sevilla FC,26,RCM
W. Zaha,25,Ivory Coast,Crystal Palace,28.5,LS
Luis Alberto,25,Spain,Lazio,28.5,CF
Jonathan Viera,28,Spain,Beijing Sinobo Guoan FC,22.5,LF
Bartra,27,Spain,Real Betis,21,CB
S. Coates,27,Uruguay,Sporting CP,21,RCB
Willian José,26,Brazil,Real Sociedad,26.5,ST
Mário Fernandes,27,Russia,PFC CSKA Moscow,18.5,RB
Víctor Ruiz,29,Spain,Villarreal CF,19.5,LCB
T. Delaney,26,Denmark,Borussia Dortmund,21.5,LCM
K. Casteels,26,Belgium,VfL Wolfsburg,19.5,GK
M. Götze,26,Germany,Borussia Dortmund,27,CM
S. Mustafi,26,Germany,Arsenal,22.5,RCB
J. Pastore,29,Argentina,Roma,21.5,CAM
Pedro,30,Spain,Chelsea,21,RW
G. Bonaventura,28,Italy,Milan,22,CM
R. Bürki,27,Switzerland,Borussia Dortmund,18.5,GK
Taison,30,Brazil,Shakhtar Donetsk,21,LM
S. Nzonzi,29,France,Roma,17,CDM
Marlos,30,Ukraine,Shakhtar Donetsk,21,RM
A. Ramsey,27,Wales,Arsenal,25,CAM
K. Trippier,27,England,Tottenham Hotspur,18.5,RB
A. Kolarov,32,Serbia,Roma,12.5,LB
G. Sigurðsson,28,Iceland,Everton,22.5,CAM
S. Giovinco,31,Italy,Toronto FC,20,CF
M. Arnautović,29,Austria,West Ham United,22,LS
N. Gaitán,30,Argentina,Dalian YiFang FC,21,CAM
J. Henderson,28,England,Liverpool,18,RCM
M. Kruse,30,Germany,SV Werder Bremen,21.5,ST
M. Parolo,33,Italy,Lazio,9,RDM
L. Fejsa,29,Serbia,SL Benfica,17,CDM
A. Rami,32,France,Olympique de Marseille,12.5,RCB
V. Ćorluka,32,Croatia,Lokomotiv Moscow,12.5,LCB
G. Wijnaldum,27,Netherlands,Liverpool,23,CAM
F. Fazio,31,Argentina,Roma,15,LCB
O. Giroud,31,France,Chelsea,20,ST
Marcano,31,Spain,Roma,15,CB
A. Guardado,31,Mexico,Real Betis,19,CM
E. Garay,31,Argentina,Valencia CF,15,RCB
Jardel,32,Brazil,SL Benfica,12.5,LCB
S. Sirigu,31,Italy,Torino,13.5,GK
E. Viviano,32,Italy,Sporting CP,12.5,GK
L. Koscielny,32,France,Arsenal,12.5,CB
A. Consigli,31,Italy,Sassuolo,13.5,GK
L. Biglia,32,Argentina,Milan,12.5,CDM
Dani Alves,35,Brazil,Paris Saint-Germain,4.8,RB
David Villa,36,Spain,New York City FC,8,ST
Aduriz,37,Spain,Athletic Club de Bilbao,8,ST
P. Čech,36,Czech Republic,Arsenal,3,GK
Casillas,37,Spain,FC Porto,1.5,GK
M. Rashford,20,England,Manchester United,27,LW
Laure Santeiro,30,Brazil,Fluminense,17,CAM
L. Bailey,20,Jamaica,Bayer 04 Leverkusen,26.5,LM
M. Akanji,22,Switzerland,Borussia Dortmund,21,LCB
F. de Jong,21,Netherlands,Ajax,26,LDM
Nélson Semedo,24,Portugal,FC Barcelona,20,RB
Pablo Fornals,22,Spain,Villarreal CF,24,CAM
Fabián,22,Spain,Napoli,26,LM
E. Bailly,24,Ivory Coast,Manchester United,21,CB
Dani Ceballos,21,Spain,Real Madrid,25,LCM
H. Lozano,22,Mexico,PSV,24,LS
Morales,30,Spain,Levante UD,17,LS
J. Seri,26,Ivory Coast,Fulham,20.5,LDM
M. Politano,24,Italy,Inter,22.5,RM
M. Brozović,25,Croatia,Inter,18.5,LDM
Williams,24,Spain,Athletic Club de Bilbao,24.5,LW
A. Correa,23,Argentina,Atlético Madrid,24.5,RM
A. Christensen,22,Denmark,Chelsea,21.5,LCB
João Mário,25,Portugal,Inter,22.5,CAM
T. Strakosha,23,Albania,Lazio,17,GK
E. Hysaj,24,Albania,Napoli,20,RB
P. Zieliński,24,Poland,Napoli,24.5,RCM
Ricardo Pereira,24,Portugal,Leicester City,19,RB
Grimaldo,22,Spain,SL Benfica,20.5,LB
R. Guerreiro,24,Portugal,Borussia Dortmund,24,LM
A. Doucouré,25,France,Watford,19.5,RDM
J. Martínez,25,Venezuela,Atlanta United,22.5,LS
C. Bacca,31,Colombia,Villarreal CF,16,LS
A. Plea,25,France,Borussia Mönchengladbach,22,LW
B. Davies,25,Wales,Tottenham Hotspur,18.5,LB
M. Nastasić,25,Serbia,FC Schalke 04,18.5,LCB
A. Milik,24,Poland,Napoli,25.5,CF
M. Sabitzer,24,Austria,RB Leipzig,22.5,LM
B. Mendy,23,France,Manchester City,20,LB
C. Kramer,27,Germany,Borussia Mönchengladbach,17,CDM
S. Vrsaljko,26,Croatia,Inter,18,RB
T. Hazard,25,Belgium,Borussia Mönchengladbach,21.5,RW
K. Bellarabi,28,Germany,Bayer 04 Leverkusen,18,RM
S. Zaza,27,Italy,Torino,21,RS
F. Ghoulam,27,Algeria,Napoli,16.5,LB
B. Lecomte,27,France,Montpellier HSC,15,GK
J. Iličić,30,Slovenia,Atalanta,17,CAM
K. Volland,25,Germany,Bayer 04 Leverkusen,22,ST
Paco Alcácer,24,Spain,Borussia Dortmund,23.5,ST
Vitolo,28,Spain,Atlético Madrid,18,LM
G. Xhaka,25,Switzerland,Arsenal,22,LDM
D. Tadić,29,Serbia,Ajax,17.5,LAM
C. Aránguiz,29,Chile,Bayer 04 Leverkusen,17,LDM
S. Verdi,25,Italy,Napoli,19.5,RW
D. Lovren,28,Croatia,Liverpool,16,RCB
G. Medel,30,Chile,Beşiktaş JK,13,RCB
X. Shaqiri,26,Switzerland,Liverpool,19,CAM
J. Corona,25,Mexico,FC Porto,21.5,RM
A. Areola,25,France,Paris Saint-Germain,16.5,GK
K. Vogt,26,Germany,TSG 1899 Hoffenheim,17.5,CB
Ander Herrera,28,Spain,Manchester United,17.5,CM
E. Salvio,27,Argentina,SL Benfica,18.5,RW
S. El Shaarawy,25,Italy,Roma,21,LM
C. Smalling,28,England,Manchester United,16,RCB
Hulk,31,Brazil,Shanghai SIPG FC,15.5,RCM
S. Kagawa,29,Japan,Borussia Dortmund,17.5,CAM
M. Lanzini,25,Argentina,West Ham United,23,CAM
F. Smolov,28,Russia,Lokomotiv Moscow,18.5,ST
L. Stindl,29,Germany,Borussia Mönchengladbach,18,CF
O. Toprak,28,Turkey,Borussia Dortmund,16,CB
D. Perotti,29,Argentina,Roma,17.5,LW
F. Muslera,32,Uruguay,Galatasaray SK,10,GK
B. Höwedes,30,Germany,Lokomotiv Moscow,13,RCB
S. Kjær,29,Denmark,Sevilla FC,14,RCB
S. Bender,29,Germany,Bayer 04 Leverkusen,14,LCB
M. Valbuena,33,France,Fenerbahçe SK,11,LM
Pedro León,31,Spain,SD Eibar,15.5,RM
K. Boateng,31,Ghana,Sassuolo,15,CM
L. Piszczek,33,Poland,Borussia Dortmund,7,RB
A. Candreva,31,Italy,Inter,15.5,RM
D. Wass,29,Denmark,Valencia CF,17,RB
E. Lamela,26,Argentina,Tottenham Hotspur,21,RM
D. Rose,27,England,Tottenham Hotspur,14.5,LB
C. Vela,29,Mexico,Los Angeles FC,17.5,RW
Renato Augusto,30,Brazil,Beijing Sinobo Guoan FC,16.5,LCM
A. Valencia,32,Ecuador,Manchester United,10,RM
L. Fabiański,33,Poland,West Ham United,9,GK
João Moutinho,31,Portugal,Wolverhampton Wanderers,15,RCM
Borja Valero,33,Spain,Inter,11,CAM
F. Quagliarella,35,Italy,Sampdoria,8,RS
B. Gomis,32,France,Al Hilal,14,ST
Manuel Fernandes,32,Portugal,Lokomotiv Moscow,14,LM
H. Herrera,28,Mexico,FC Porto,17.5,CM
Raffael,33,Brazil,Borussia Mönchengladbach,11,CF
Nani,31,Portugal,Sporting CP,15.5,LM
J. Milner,32,England,Liverpool,13.5,CM
J. Mathieu,34,France,Sporting CP,5.5,LCB
Joaquín,36,Spain,Real Betis,6,LS
M. Gómez,21,Uruguay,RC Celta,20.5,ST
K. Havertz,19,Germany,Bayer 04 Leverkusen,22,CAM
T. Ndombele,21,France,Olympique Lyonnais,22.5,CM
H. Aouar,20,France,Olympique Lyonnais,23.5,LM
Carlos Soler,21,Spain,Valencia CF,21,RM
Odriozola,22,Spain,Real Madrid,18.5,RB
M. Almirón,24,Paraguay,Atlanta United,19.5,CAM
Welington Dano,30,Brazil,Cruzeiro,10.5,LB
Everton Andrão,34,Brazil,Fluminense,4.5,CDM
Oyarzabal,21,Spain,Real Sociedad,21,CAM
F. Balbuena,26,Paraguay,West Ham United,15.5,RCB
M. Marega,27,Mali,FC Porto,16,RS
B. Pavard,22,France,VfB Stuttgart,17.5,RB
W. Ndidi,21,Nigeria,Leicester City,17,LDM
A. Onana,22,Cameroon,Ajax,14.5,GK
G. Lo Celso,22,Argentina,Real Betis,20,RCM
M. Acuña,26,Argentina,Sporting CP,12.5,LB
Rúben Neves,21,Portugal,Wolverhampton Wanderers,20.5,LCM
Mariano,24,Dominican Republic,Real Madrid,20,ST
Raúl,28,Brazil,SC Braga,12,CB
M. Caldara,24,Italy,Milan,17.5,CB
M. Vecino,26,Uruguay,Inter,14.5,LM
T. Bakayoko,23,France,Milan,17,LCM
M. Dahoud,22,Germany,Borussia Dortmund,20,CM
Rafa,25,Portugal,SL Benfica,18.5,RW
K. Baldé,23,Senegal,Inter,20,RM
G. Rulli,26,Argentina,Real Sociedad,14,GK
F. Armani,31,Argentina,River Plate,9,GK
Rony Lopes,22,Portugal,AS Monaco,20,RM
Santi Mina,22,Spain,Valencia CF,20,LS
K. Demirbay,24,Germany,TSG 1899 Hoffenheim,19.5,RCM
Gayà,23,Spain,Valencia CF,16.5,LB
André Gomes,24,Portugal,Everton,19.5,LDM
N. Tagliafico,25,Argentina,Ajax,15,LB
M. Sanson,23,France,Olympique de Marseille,19.5,RDM
Pacheco,26,Spain,Deportivo Alavés,13,GK
E. Can,24,Germany,Juventus,19.5,CM
H. Çalhanoğlu,24,Turkey,Milan,19.5,CAM
M. Ginter,24,Germany,Borussia Mönchengladbach,15.5,RWB
M. Keane,25,England,Everton,15.5,RCB
L. Paredes,24,Argentina,,0,CM
T. Stepanenko,28,Ukraine,Shakhtar Donetsk,12,RDM
L. Shaw,22,England,Manchester United,16.5,LB
Z. Feddal,28,Morocco,Real Betis,12,CB
S. Haller,24,France,Eintracht Frankfurt,19,RS
Bernard,25,Brazil,Everton,17.5,LM
T. Inui,30,Japan,Real Betis,14,LM
Portu,26,Spain,Girona FC,17.5,RM
M. Batshuayi,24,Belgium,Valencia CF,19.5,ST
E. Zahavi,30,Israel,Guangzhou R&F; FC,14.5,LS
T. Vaclík,29,Czech Republic,Sevilla FC,11.5,GK
N. Pope,26,England,Burnley,13,GK
Héctor Bellerín,23,Spain,Arsenal,16.5,RB
P. Kadeřábek,26,Czech Republic,TSG 1899 Hoffenheim,14,RWB
J. Butland,25,England,Stoke City,14,GK
J. Vestergaard,25,Denmark,Southampton,14.5,CB
J. Tarkowski,25,England,Burnley,15.5,RCB
Deulofeu,24,Spain,Watford,18.5,RS
E. Dier,24,England,Tottenham Hotspur,16.5,CDM
J. Murillo,26,Colombia,Valencia CF,16,LCB
M. Badelj,29,Croatia,Lazio,11.5,CDM
Ismaily,28,Brazil,Shakhtar Donetsk,11.5,LB
N. Schulz,25,Germany,TSG 1899 Hoffenheim,14.5,LWB
L. Digne,24,France,Everton,16,LB
M. Uth,26,Germany,FC Schalke 04,17.5,ST
Cristian Tello,26,Spain,Real Betis,16,LM
D. Vida,29,Croatia,Beşiktaş JK,11.5,LCB
L. Muriel,27,Colombia,Sevilla FC,17.5,ST
V. Aboubakar,26,Cameroon,FC Porto,18,ST
A. Oxlade-Chamberlain,24,England,Liverpool,19.5,CM
S. Aurier,25,Ivory Coast,Tottenham Hotspur,15.5,RB
J. Matip,26,Cameroon,Liverpool,15,CB
Y. Rakitskyi,28,Ukraine,Shakhtar Donetsk,12,LCB
Sergi Enrich,28,Spain,SD Eibar,15.5,RS
A. Yarmolenko,28,Ukraine,West Ham United,15,RM
Hugo Mallo,27,Spain,RC Celta,13.5,RB
André Almeida,27,Portugal,SL Benfica,12,RB
D. Didavi,28,Germany,VfB Stuttgart,15,CAM
R. Rodríguez,25,Switzerland,Milan,15.5,LB
R. Pereyra,27,Argentina,Watford,15.5,LM
Mario Gaspar,27,Spain,Villarreal CF,12,RB
Maicon,29,Brazil,Galatasaray SK,11.5,CB
D. Blind,28,Netherlands,Ajax,12,LB
J. Zoet,27,Netherlands,PSV,12.5,GK
A. Ljajić,26,Serbia,Beşiktaş JK,17.5,CAM
Canales,27,Spain,Real Betis,15.5,RCM
Iago Falqué,28,Spain,Torino,15,RW
L. de Jong,27,Netherlands,PSV,16,ST
Guaita,31,Spain,Crystal Palace,9,GK
Muniain,25,Spain,Athletic Club de Bilbao,18.5,CAM
Susaeta,30,Spain,Athletic Club de Bilbao,14,RW
S. Rudy,28,Germany,FC Schalke 04,12,CDM
K. Trapp,27,Germany,Eintracht Frankfurt,11.5,GK
